Iteration: 1020, Creation Time: 9.56 sec, Embedding Time: 1.54 sec, Workflow Time: 22.59 sec
Iteration: 1021, Creation Time: 9.80 sec, Embedding Time: 2.86 sec, Workflow Time: 26.12 sec
Iteration: 1022, Creation Time: 9.90 sec, Embedding Time: 1.38 sec, Workflow Time: 22.70 sec
Iteration: 1023, Creation Time: 9.51 sec, Embedding Time: 2.35 sec, Workflow Time: 20.83 sec

Iteration: 1015, Creation Time: 9.75 sec, Embedding Time: 4.71 sec, Workflow Time: 45.15 sec
Iteration: 1016, Creation Time: 9.45 sec, Embedding Time: 4.86 sec, Workflow Time: 40.51 sec
Iteration: 1017, Creation Time: 9.56 sec, Embedding Time: 6.23 sec, Workflow Time: 46.06 sec
Iteration: 1018, Creation Time: 9.61 sec, Embedding Time: 2.12 sec, Workflow Time: 33.52 sec
Iteration: 1019, Creation Time: 9.89 sec, Embedding Time: 2.13 sec, Workflow Time: 28.38 sec
Iteration: 1020, Creation Time: 9.25 sec, Embedding Time: 2.34 sec, Workflow Time: 14.22 sec
Iteration: 1021, Creation Time: 9.39 sec, Embedding Time: 1.54 sec, Workflow Time: 16.62 sec
Iteration: 1022, Creation Time: 9.09 sec, Embedding Time: 2.98 sec, Workflow Time: 8.93 sec
Iteration: 1023, Creation Time: 8.59 sec, Embedding Time: 1.45 sec, Workflow Time: 9.06 sec
Iteration: 1024, Creation Time: 8.83 sec, Embedding Time: 4.53 sec, Workflow Time: 29.48 sec

Iteration: 1016, Creation Time: 9.15 sec, Embedding Time: 2.21 sec, Workflow Time: 28.96 sec
Iteration: 1017, Creation Time: 9.14 sec, Embedding Time: 3.25 sec, Workflow Time: 23.94 sec
Iteration: 1018, Creation Time: 9.57 sec, Embedding Time: 1.85 sec, Workflow Time: 16.41 sec
Iteration: 1019, Creation Time: 9.55 sec, Embedding Time: 2.01 sec, Workflow Time: 16.12 sec
Iteration: 1020, Creation Time: 9.71 sec, Embedding Time: 2.80 sec, Workflow Time: 16.18 sec
Iteration: 1021, Creation Time: 9.63 sec, Embedding Time: 3.58 sec, Workflow Time: 21.19 sec
Iteration: 1022, Creation Time: 9.42 sec, Embedding Time: 8.38 sec, Workflow Time: 24.84 sec
Iteration: 1023, Creation Time: 9.03 sec, Embedding Time: 1.82 sec, Workflow Time: 21.35 sec
Iteration: 1024, Creation Time: 9.53 sec, Embedding Time: 1.97 sec, Workflow Time: 19.67 sec
Iteration: 1025, Creation Time: 9.73 sec, Embedding Time: 4.48 sec, Workflow Time: 18.68 sec

Iteration: 1017, Creation Time: 9.53 sec, Embedding Time: 1.98 sec, Workflow Time: 16.50 sec
Iteration: 1018, Creation Time: 9.26 sec, Embedding Time: 2.36 sec, Workflow Time: 11.33 sec
Iteration: 1019, Creation Time: 9.40 sec, Embedding Time: 1.91 sec, Workflow Time: 11.45 sec
Iteration: 1020, Creation Time: 9.74 sec, Embedding Time: 1.88 sec, Workflow Time: 13.36 sec
Iteration: 1021, Creation Time: 9.52 sec, Embedding Time: 2.17 sec, Workflow Time: 15.65 sec
Iteration: 1022, Creation Time: 9.65 sec, Embedding Time: 4.40 sec, Workflow Time: 18.74 sec
Iteration: 1023, Creation Time: 9.60 sec, Embedding Time: 2.01 sec, Workflow Time: 27.02 sec
Iteration: 1024, Creation Time: 9.63 sec, Embedding Time: 1.52 sec, Workflow Time: 27.83 sec
Iteration: 1025, Creation Time: 9.48 sec, Embedding Time: 2.86 sec, Workflow Time: 26.49 sec
Iteration: 1026, Creation Time: 9.50 sec, Embedding Time: 4.11 sec, Workflow Time: 33.61 sec

Iteration: 1018, Creation Time: 9.64 sec, Embedding Time: 3.64 sec, Workflow Time: 18.28 sec
Iteration: 1019, Creation Time: 9.58 sec, Embedding Time: 2.45 sec, Workflow Time: 17.43 sec
Iteration: 1020, Creation Time: 9.72 sec, Embedding Time: 1.88 sec, Workflow Time: 21.61 sec
Iteration: 1021, Creation Time: 9.70 sec, Embedding Time: 1.53 sec, Workflow Time: 26.72 sec
Iteration: 1022, Creation Time: 9.73 sec, Embedding Time: 10.92 sec, Workflow Time: 17.60 sec
Iteration: 1023, Creation Time: 9.62 sec, Embedding Time: 2.54 sec, Workflow Time: 27.90 sec
Iteration: 1024, Creation Time: 9.58 sec, Embedding Time: 2.81 sec, Workflow Time: 22.03 sec
Iteration: 1025, Creation Time: 9.52 sec, Embedding Time: 4.93 sec, Workflow Time: 15.30 sec
Iteration: 1026, Creation Time: 9.35 sec, Embedding Time: 4.67 sec, Workflow Time: 18.45 sec
Iteration: 1027, Creation Time: 9.48 sec, Embedding Time: 1.60 sec, Workflow Time: 23.59 sec

Iteration: 1019, Creation Time: 9.18 sec, Embedding Time: 2.16 sec, Workflow Time: 41.35 sec
Iteration: 1020, Creation Time: 9.57 sec, Embedding Time: 10.57 sec, Workflow Time: 22.51 sec
Iteration: 1021, Creation Time: 9.54 sec, Embedding Time: 1.54 sec, Workflow Time: 29.78 sec
Iteration: 1022, Creation Time: 9.61 sec, Embedding Time: 1.48 sec, Workflow Time: 12.50 sec
Iteration: 1023, Creation Time: 9.58 sec, Embedding Time: 2.34 sec, Workflow Time: 11.20 sec
Iteration: 1024, Creation Time: 9.72 sec, Embedding Time: 1.62 sec, Workflow Time: 14.03 sec
Iteration: 1025, Creation Time: 9.71 sec, Embedding Time: 4.53 sec, Workflow Time: 16.92 sec
Iteration: 1026, Creation Time: 9.56 sec, Embedding Time: 1.49 sec, Workflow Time: 22.45 sec
Iteration: 1027, Creation Time: 9.50 sec, Embedding Time: 1.93 sec, Workflow Time: 19.53 sec
Iteration: 1028, Creation Time: 9.57 sec, Embedding Time: 5.77 sec, Workflow Time: 14.14 sec

Iteration: 1020, Creation Time: 9.73 sec, Embedding Time: 2.17 sec, Workflow Time: 14.88 sec
Iteration: 1021, Creation Time: 9.67 sec, Embedding Time: 4.58 sec, Workflow Time: 21.41 sec
Iteration: 1022, Creation Time: 9.65 sec, Embedding Time: 2.16 sec, Workflow Time: 29.44 sec
Iteration: 1023, Creation Time: 9.42 sec, Embedding Time: 1.71 sec, Workflow Time: 42.83 sec
Iteration: 1024, Creation Time: 9.64 sec, Embedding Time: 3.39 sec, Workflow Time: 17.56 sec
Iteration: 1025, Creation Time: 9.11 sec, Embedding Time: 1.42 sec, Workflow Time: 14.69 sec
Iteration: 1026, Creation Time: 9.37 sec, Embedding Time: 1.93 sec, Workflow Time: 22.53 sec
Iteration: 1027, Creation Time: 9.13 sec, Embedding Time: 4.32 sec, Workflow Time: 16.48 sec
Iteration: 1028, Creation Time: 9.06 sec, Embedding Time: 2.09 sec, Workflow Time: 11.76 sec
Iteration: 1029, Creation Time: 8.97 sec, Embedding Time: 1.91 sec, Workflow Time: 17.20 sec

Iteration: 1021, Creation Time: 9.44 sec, Embedding Time: 1.75 sec, Workflow Time: 5.88 sec
Iteration: 1022, Creation Time: 9.34 sec, Embedding Time: 2.32 sec, Workflow Time: 7.62 sec
Iteration: 1023, Creation Time: 9.74 sec, Embedding Time: 1.70 sec, Workflow Time: 6.28 sec
Iteration: 1024, Creation Time: 9.36 sec, Embedding Time: 2.92 sec, Workflow Time: 22.60 sec
Iteration: 1025, Creation Time: 9.74 sec, Embedding Time: 2.54 sec, Workflow Time: 10.88 sec
Iteration: 1026, Creation Time: 9.60 sec, Embedding Time: 1.71 sec, Workflow Time: 9.95 sec
Iteration: 1027, Creation Time: 9.43 sec, Embedding Time: 2.35 sec, Workflow Time: 12.34 sec
Iteration: 1028, Creation Time: 9.45 sec, Embedding Time: 3.23 sec, Workflow Time: 19.81 sec
Iteration: 1029, Creation Time: 9.54 sec, Embedding Time: 2.35 sec, Workflow Time: 11.90 sec
Iteration: 1030, Creation Time: 10.03 sec, Embedding Time: 2.60 sec, Workflow Time: 23.81 sec

Iteration: 1022, Creation Time: 9.48 sec, Embedding Time: 1.46 sec, Workflow Time: 37.96 sec
Iteration: 1023, Creation Time: 9.60 sec, Embedding Time: 10.57 sec, Workflow Time: 22.94 sec
